id,project_id,name,description,planned_hours,actual_hours,hourly_rate,total_cost,status,created_by,created_at,updated_at,category_id,deadline,deadline_type,is_assigned_by_admin,deadline_reason,priority,completed_at,deadline_change_log
02b2cf9b-5801-4e5d-add4-371dcf015bdd,441ab6c9-c438-4973-bcd0-c445de2b65cb,проверка звонка при приему показания от Слюнина,Задача создана из календаря: проверка звонка при приему показания от Слюнина,0.50,0.00,3500.00,1750.00,new,a8abb6c3-d51c-4039-a1f2-93f5d98d2a20,2025-09-30 07:00:16.214484+00,2025-09-30 07:00:16.889679+00,,,,false,,medium,,
04114b17-af75-4aae-b963-91705850c0b6,5321abc1-81ff-4e35-8f43-600a0cd4e914,T7396 Ошибки при отправке сообщений в сервис рассылок из-за ЛИВС,"С целью недопущения ошибок отправок оповещений в сервисе рассылок требуется, чтобы при получении задачи на оповещение в системе Инфобота происходила проверка на корректность формата номера телефона (Правильный формат для номеров РФ: 70000000000) и в случае определения не верного формата происходила автокорректировка.",8.00,0.00,2500.00,20000.00,testing-client,8d97a5a2-98ea-4b4b-8f4a-0069d389e2ec,2025-10-07 15:43:41.972825+00,2025-10-08 08:54:28.999662+00,,,,false,,medium,,
04cd4124-fd41-4b37-9049-d58f8427582f,441ab6c9-c438-4973-bcd0-c445de2b65cb,Поиск узкого местиа в коннекторе в случае мягкого прерывания,Создано из календаря,3.00,0.00,3500.00,10500.00,new,9d6f7300-cca0-41a2-84c8-81f0eb490a58,2025-10-09 08:47:46.967713+00,2025-10-09 08:47:47.964677+00,,,,false,,medium,,
09a0d88c-f0d2-4024-bc85-089070b8eaf4,441ab6c9-c438-4973-bcd0-c445de2b65cb,Саша нашла баг,"в сценарии акт сверки расчётов спрашивает 
вы физ лицо, квартира, частный дом или организация 
посмотреть еще тикет 505
Создано из календаря",1.00,0.00,3500.00,3500.00,new,43d9b4e2-255d-41d3-8bce-4b59332ee697,2025-10-07 14:28:49.174404+00,2025-10-07 14:28:49.745187+00,,,,false,,medium,,
0c02b2bb-b5af-4fd7-9220-509f359af7b5,f5fc05f0-3fbb-4074-a109-4ac51eaf7c0a,T7030 Сторис,"В сервисе статистики мобильного приложения реализовать функционал публикации сторис, доступных к просмотру в мобильном приложении.
Сторис включает в себя:
- обложка сторис;
- заголовок сторис;
- поддержка нескольких экранов для одной сторис;
- заголовок для экрана сторис;
- изображение для экрана сторис;
- описание для экрана сторис;
- ссылка для экрана сторис.
Ранее опубликованные и неактуальные сторис можно снять с публикации.

сделано на деве, нужно доделать Наташе, 4 часа осталось",0.00,0.00,2500.00,0.00,new,8d97a5a2-98ea-4b4b-8f4a-0069d389e2ec,2025-10-07 16:01:08.565453+00,2025-10-08 09:23:13.86802+00,,,,false,,medium,,
0d306210-a2f8-44b1-a6e5-eec2d1c66623,5321abc1-81ff-4e35-8f43-600a0cd4e914,T7388 Проверка параметра нумерации квартиры,"По сценариям ""Узнать лицевой счет"", ""Переход на расчеты через МФЦ""  добавить параметр проверки нумерации квартиры с буквенным значением (2-ой Мосфильмовский пер., д.5, кв.А101, А201, А502;
м.о. Филимонковский, дер. Марьино, Жемчужная ул., д 1 корп. 3, апартаменты 2А, 21А).

начать с исследования, Наташа 
Рустем осн часть 
",30.00,0.00,2500.00,75000.00,new,8d97a5a2-98ea-4b4b-8f4a-0069d389e2ec,2025-10-07 15:55:18.378699+00,2025-10-08 09:16:44.853816+00,,,,false,,medium,,
0dd49568-b694-4066-b366-7c20b8fb2e9e,441ab6c9-c438-4973-bcd0-c445de2b65cb,выгрузка аудиозаписей,Создано из календаря,0.50,0.00,3500.00,1750.00,new,33f3b0ac-60ea-4d41-8f4e-d81fcb45d433,2025-10-14 07:35:10.220043+00,2025-10-14 07:35:10.753455+00,,,,false,,medium,,
1223635f-f580-4316-9388-78bce1254e3f,9b8833bb-41db-4eea-b116-b3f605fbc8cf,выявление недостающих объектов по видео,"выявление недостающих объектов по видео
Создано из календаря",3.00,0.00,3500.00,10500.00,new,33f3b0ac-60ea-4d41-8f4e-d81fcb45d433,2025-10-02 16:11:35.560692+00,2025-10-02 16:11:36.036147+00,,,,false,,medium,,
1461ae17-443b-4e0b-9c1e-4bd2e556b3fd,441ab6c9-c438-4973-bcd0-c445de2b65cb,Проверка МР,Создано из календаря,0.50,0.00,3500.00,1750.00,new,a8abb6c3-d51c-4039-a1f2-93f5d98d2a20,2025-10-08 06:04:00.425874+00,2025-10-08 06:04:00.826641+00,,,,false,,medium,,
1523d93b-e22b-4ac5-8ead-b5672e017b3a,ab4402ad-22e3-4e23-8ba4-79cbb99d9455,настройка редиректа на yavlenie.pro,Создано из календаря,0.50,0.00,3500.00,1750.00,new,33f3b0ac-60ea-4d41-8f4e-d81fcb45d433,2025-10-14 07:31:51.935801+00,2025-10-14 07:31:53.147172+00,,,,false,,medium,,
