id,employee_id,project_id,date,start_time,end_time,task,planned_hours,actual_hours,status,category,created_at,parent_task_id,task_sequence,total_task_hours,is_paused,paused_at,resumed_at,is_recurring,recurrence_type,recurrence_interval,recurrence_end_date,recurrence_days,parent_recurring_id,recurrence_count,task_id,deadline,deadline_type,is_assigned_by_admin,deadline_reason,completed_at,start_at_utc,end_at_utc,description
0165fba5-06cb-4126-b459-72289508dcfa,33f3b0ac-60ea-4d41-8f4e-d81fcb45d433,5321abc1-81ff-4e35-8f43-600a0cd4e914,2025-10-20,20:59:00,23:59:00,актуализация ссылок на файлы для разметки,3.00,3.00,completed,,2025-10-21 07:34:22.142259+00,,,,false,,,false,,1,,,,,,2025-10-21,soft,false,,,2025-10-20 15:59:00+00,2025-10-20 18:59:00+00,
03e99e17-05ec-4260-ba2e-4cc6e8e69d3b,43d9b4e2-255d-41d3-8bce-4b59332ee697,d35fde10-4e0b-4725-bbe6-e0c1de7ee177,2025-09-27,15:00:00,23:00:00,Доработка тайм-трекера (из задачи проекта),8.00,8.00,completed,Development,2025-09-29 07:03:38.453849+00,,,,false,,,false,,1,,,,,a27fed1d-2066-4531-9452-c8703fcbbcd1,2025-10-06,soft,true,,,2025-09-27 12:00:00+00,2025-09-26 20:00:00+00,
04217caf-b124-45ac-9b2f-61de0401c97c,33f3b0ac-60ea-4d41-8f4e-d81fcb45d433,ab4402ad-22e3-4e23-8ba4-79cbb99d9455,2025-10-07,19:30:00,20:00:00,диагностика проблемы с деплоем connector-collector,0.50,0.50,completed,Development,2025-10-08 07:38:09.094768+00,,,,false,,,false,,1,,,,,,2025-10-08,soft,false,,,2025-10-07 14:30:00+00,2025-10-07 15:00:00+00,
05bf45a7-e8d4-440f-b334-b3416d71281b,33f3b0ac-60ea-4d41-8f4e-d81fcb45d433,5321abc1-81ff-4e35-8f43-600a0cd4e914,2025-09-25,17:30:00,19:30:00,разработка схемы инфраструктуры серверов МВК,2.00,2.00,completed,Разработка,2025-09-25 11:37:19.84597+00,,,,false,,,false,,1,,,,,,,,false,,,2025-09-25 17:30:00+00,2025-09-25 19:30:00+00,
06f92a10-4f60-499a-8c02-75481b0f32d1,a8abb6c3-d51c-4039-a1f2-93f5d98d2a20,441ab6c9-c438-4973-bcd0-c445de2b65cb,2025-09-24,11:00:00,11:30:00,"Проверка сценария СУВ о переданных показаниях, сообщают, что не работает",0.50,0.00,in-progress,Тестирование,2025-09-24 05:02:19.713913+00,,,,false,,,false,,1,,,,,,,,false,,,2025-09-24 11:00:00+00,2025-09-24 11:30:00+00,
0739df00-c8a2-4711-87b4-a1a1b859ad93,33f3b0ac-60ea-4d41-8f4e-d81fcb45d433,ab4402ad-22e3-4e23-8ba4-79cbb99d9455,2025-10-15,00:00:00,01:30:00,формирование данных и выгрузка данных для спеца по разметке,1.50,1.50,completed,,2025-10-14 20:26:07.263474+00,,,,false,,,false,,1,,,,,,2025-10-16,soft,false,,,2025-10-14 19:00:00+00,2025-10-14 20:30:00+00,
0c54ff83-bf74-4ea8-8771-7a6c5fb8f5f0,9d6f7300-cca0-41a2-84c8-81f0eb490a58,441ab6c9-c438-4973-bcd0-c445de2b65cb,2025-09-24,14:00:00,19:00:00,Разобраться как заставить робота ложить трубку,5.00,5.00,completed,Разработка,2025-09-24 07:58:54.169457+00,,,,false,,,false,,1,,,,,,,,false,,,2025-09-24 14:00:00+00,2025-09-24 19:00:00+00,
0d00e333-9453-46f4-acf7-856bd81979c4,33f3b0ac-60ea-4d41-8f4e-d81fcb45d433,9b8833bb-41db-4eea-b116-b3f605fbc8cf,2025-10-07,13:00:00,16:00:00,разворот мобильной сит.карты,3.00,3.00,completed,Development,2025-10-08 07:37:39.694595+00,,,,false,,,false,,1,,,,,,2025-10-08,soft,false,,,2025-10-07 08:00:00+00,2025-10-07 11:00:00+00,
0e1fb19d-bcad-4d81-8d02-f0043314a743,a8abb6c3-d51c-4039-a1f2-93f5d98d2a20,f5fc05f0-3fbb-4074-a109-4ac51eaf7c0a,2025-10-06,09:45:00,10:45:00,Подготовка обновления пром версии,1.00,1.00,completed,Проверка MR,2025-10-06 04:55:39.929135+00,,,,false,,,false,,1,,,,,,2025-10-07,soft,false,,,2025-10-06 04:45:00+00,2025-10-06 05:45:00+00,
0ec438ee-ecb4-4c89-b9fc-b01909367b7e,33f3b0ac-60ea-4d41-8f4e-d81fcb45d433,441ab6c9-c438-4973-bcd0-c445de2b65cb,2025-10-06,19:30:00,20:30:00,разделение chatbot-engine на 2 порта,1.00,1.00,completed,,2025-10-06 18:38:28.29276+00,,,,false,,,false,,1,,,,,,2025-10-07,soft,false,,,2025-10-06 14:30:00+00,2025-10-06 15:30:00+00,
110a7e44-53a8-49cc-82fd-80c6f80a9c17,a8abb6c3-d51c-4039-a1f2-93f5d98d2a20,441ab6c9-c438-4973-bcd0-c445de2b65cb,2025-09-24,11:00:00,11:30:00,"проверка работы сценария СУВ о переданных показаниях, сообщают, что не сработал",0.50,0.50,completed,Тестирование,2025-09-24 11:55:02.62428+00,,,,false,,,false,,1,,,,,,,,false,,,2025-09-24 11:00:00+00,2025-09-24 11:30:00+00,
11202d24-aad9-4843-a3a5-caadc9cc190f,33f3b0ac-60ea-4d41-8f4e-d81fcb45d433,5321abc1-81ff-4e35-8f43-600a0cd4e914,2025-10-15,11:00:00,11:30:00,деплой и тестирование Asterisk connector,0.50,0.50,completed,,2025-10-16 07:11:43.6053+00,,,,false,,,false,,1,,,,,,2025-10-16,soft,false,,,2025-10-15 06:00:00+00,2025-10-15 06:30:00+00,
128f8fcc-1fa0-43b6-ad70-024630a0fb9e,a8abb6c3-d51c-4039-a1f2-93f5d98d2a20,441ab6c9-c438-4973-bcd0-c445de2b65cb,2025-10-06,14:00:00,15:00:00,Проверка МР,1.00,1.00,completed,Код-ревью,2025-10-06 10:51:48.213411+00,,,,false,,,false,,1,,,,,,2025-10-07,soft,false,,,2025-10-06 09:00:00+00,2025-10-06 10:00:00+00,
15dd6e16-3525-4660-8f48-3d09b5dc5d8b,9d6f7300-cca0-41a2-84c8-81f0eb490a58,9b8833bb-41db-4eea-b116-b3f605fbc8cf,2025-10-09,14:00:00,15:30:00,Разговоры о важном. Разворачивание и прочее,1.50,1.50,completed,,2025-10-09 11:35:20.157074+00,,,,false,,,false,,1,,,,,,2025-10-10,soft,false,,,2025-10-09 09:00:00+00,2025-10-09 10:30:00+00,
16c9d6ed-07a7-428d-a44e-795ab4f767af,33f3b0ac-60ea-4d41-8f4e-d81fcb45d433,441ab6c9-c438-4973-bcd0-c445de2b65cb,2025-10-02,17:00:00,19:00:00,перенос роботов GPT на контурные мощности,2.00,2.00,completed,,2025-10-02 16:19:00.042967+00,,,,false,,,false,,1,,,,,,2025-10-03,soft,false,,,2025-10-02 12:00:00+00,2025-10-02 14:00:00+00,
